nom,adresse,commune,dep,ecrans,entrees_2021,entrees_2022,fauteuils,seances
LE COMMYNES,RUE DE LA FRERIE,Argentonnay,79,1,1892,3071,223,335
COLBERT,GRANDE RUE,Aubusson,23,2,10860,17076,379,1667
ROYAL,8 AV DU MARECHAL FOCH,Biarritz,64,3,42109,66258,451,4866
LE RENOIR,RUE DU 14 JUILLET,Biscarrosse,40,4,53693,82663,536,5463
MEGA CGR,AVENUE DES FRERES LUMIERE,Buxerolles,86,12,204708,335711,2174,23546
CINE 4,PLACE JASMIN,Castillonnès,47,1,7589,12889,205,587
COMPLEXE LE REX,PLACE DU SOUVENIR,Cestas,33,2,23267,35526,544,2609
FOYER CULTUREL,PLACE CAIL,Chef-Boutonne,79,1,3546,5328,146,379
JEAN RENOIR,RUE DE L HOTEL DE VILLE,Eysines,33,1,5179,11140,169,490
AQUITAINE,1 RUE CARNOT,Hagetmau,40,1,3644,6982,415,596
FAMILIA,RUE SADI CARNOT,Jonzac,17,2,17962,28984,354,1430
GRAND ECRAN,56 AVENUE GALLIENI,Libourne,33,10,107903,189641,1367,12878
MAULE BAITHA,15 RUE ARNAUD DE MAYTIE,Mauléon-Licharre,64,2,10173,16204,416,1313
LA BOBINE,22 RUE DU COMMERCE,Monein,64,1,4760,8341,159,789
LE LASCAUX,RUE WILSON,Montpon-Ménestérol,24,1,6223,12124,179,601
EDEN,7 RUE PORTE DU DROPT,Monségur,33,1,7682,13213,189,936
LE CINE,ALLEE DES PLATANES,Montguyon,17,1,5514,7675,133,450
MEGARAMA PIAN MEDOC,ROUTE DE PAUILLAC,Le Pian-Médoc,33,6,122506,197388,1079,9772
TAP CASTILLE,1 PLACE DU MARECHAL LECLERC,Poitiers,86,3,36421,65153,459,4526
GRAND ECRAN,PLACE DES ARENES,Pontonx-sur-l'Adour,40,1,5546,8832,220,605
LA COURSIVE,4 RUE ST JEAN DU PEROT,La Rochelle,17,2,24973,47685,1280,1571
L ESTRADE,SALLE MUNICIPALE,Sabres,40,1,2135,3957,103,465
EDEN,PLACE ST JACQUES,La Souterraine,23,1,6441,10057,190,810
JEANNE D ARC,AVENUE DE SAINTES,Saint-Genis-de-Saintonge,17,1,3292,5242,282,217
LE SELECT,CONTIS PLAGE,Saint-Julien-en-Born,40,1,9722,8614,290,701
LES TOILES DU MOUN,447 AVENUE DU CORPS FRANC,Saint-Pierre-du-Mont,40,4,39700,63025,388,7069
LE KIOSQUE,BOULEVARD ADRIEN MORIN,Thouars,79,4,34822,77715,530,5391
LE CRISTAL,99 AVENUE BEAUPREAU,La Tremblade,17,1,7237,7727,259,864
ALBRET,Z A C DES TAMARIS,Vieux-Boucau-les-Bains,40,1,5606,6527,436,298
CYRANO,9 BD DE LA MARINE,Villeneuve-sur-Lot,47,6,41690,68293,676,6996
LE GRAND CLUB,64 BOULEVARD DE LA REPUBLIQUE,Mont-de-Marsan,40,8,93919,152061,1327,10241
MEGA CGR,30 RUE SAINT- ROCH,Angoulême,16,11,114475,171785,1876,21142
LE CLUB,32 BD CHANZY,Barbezieux-Saint-Hilaire,16,2,18309,28607,239,1708
VOG,14 RUE DU PALAIS DE JUSTICE,Bazas,33,1,8316,11990,154,717
CYRANO,2 PLACE DES CARMES,Bergerac,24,9,70793,120428,1082,10711
CENTRE CULTUREL,RUE PIERRE DE COUBERTIN,Biganos,33,1,3789,7192,298,610
COLONNES,RUE DU DOCTEUR CASTERA,Blanquefort,33,2,17583,28858,339,2732
MEGARAMA,7 QUAI DES QUEYRIES,Bordeaux,33,17,214797,315862,2878,28875
UTOPIA,5 PLACE CAMILLE JULLIAN,Bordeaux,33,5,141672,240681,553,8243
MEGA CGR,RTE DE TULLE-ESPACE DES 3 PROVIN,Brive-la-Gaillarde,19,9,142119,240567,1504,16545
LUX LOUIS DELLUC,PLACE DU GENERAL DE GAULLE,Le Buisson-de-Cadouin,24,2,20026,30377,281,1854
CENTRE SIMONE SIGNORET,CHEMIN DU CASSIOT,Canéjan,33,1,2620,6363,383,178
CENTRE CULTUREL DE L ESTRAN,123 AVENUE DE MAUBUISSON,Carcans,33,1,3126,2735,248,189
7EME ART,PLACE DE LA MAIRIE,Cerizay,79,1,3849,7492,177,653
COLISEE,1 PLACE DU COLISEE,Châteauneuf-la-Forêt,87,1,2604,4169,210,303
LE CAPITOLE,PLACE EMILE ROUX,Confolens,16,1,9079,13780,149,952
JEAN GABIN,AVENUE DE LA PAIX,Eymoutiers,87,1,4530,6426,135,446
MEGA CGR,LIEU DIT LES BRANDES,Fontaine-le-Comte,86,8,92609,137525,1501,15619
VARIETES,12 RUE DU THEATRE,Hendaye,64,1,9566,14842,324,868
LOUIS JOUVET,1 AVENUE DE LA GARE,Laruns,64,1,1928,3569,155,327
CENTRE CULTUREL LEON,PLACE DU DOCTEUR DUFAU,Léon,40,1,7536,11300,222,710
CINE M,8 BOULEVARD DE LA REPUBLIQUE,Mourenx,64,2,10322,15911,238,3024
SALLE NOTRE DAME,MAIRIE,Mussidan,24,1,4920,10393,141,780
CINEMA LOUIS DELLUC,PLACE DES DROITS DE L'HOMME,Nontron,24,1,11176,17337,169,960
LE PIXEL,20 AVENUE DE LA MOUTETE,Orthez,64,2,26673,42533,299,1746
CGR SAINT LOUIS,11 RUE DU MARECHAL JOFFRE,Pau,64,7,41894,51075,1148,10594
MEGA CGR,PLACE DU 7EME ART,Pau,64,12,159992,273693,2474,23681
LE CLUB,PLACE DU CHAMP DE FOIRE,Peyrat-le-Château,87,1,1650,2053,200,147
LA LUTZ,146 PLACE ARISTIDE BRIAND,Peyrehorade,40,1,12423,18843,199,818
REX,PLACE DE LA LIBERATION,La Réole,33,1,6325,10919,249,1005
CGR DRAGON,8 COURS DES DAMES,La Rochelle,17,6,64514,110200,1024,10223
CINEMA LA BRECHE,138 RUE DE LA REPUBLIQUE,Sainte-Foy-la-Grande,33,3,29173,49908,515,3586
CINEVALS,1 RUE LACOUE,Saint-Jean-d'Angély,17,3,13907,62255,463,4173
LE VAUBAN,4 RUE RENAUD,Saint-Jean-Pied-de-Port,64,1,10072,16385,300,702
MEDIA 7,PLACE DE L'HOTEL DE VILLE,Saint-Sever,40,1,6188,9058,200,649
CINE ROC,16 AVENUE JEAN JAURES,Terrasson-Lavilledieu,24,1,10788,17790,228,1195
VEO GRAND PALACE,AVENUE DE VENTADOUR,Tulle,19,5,59529,91865,708,6837
ITSAS MENDI,RUE BERNARD DE CORAL,Urrugne,64,1,9200,13415,229,1488
STUDIO JULES FERRY,12 RUE JULES FERRY,Agen,47,2,30220,50477,288,2567
studio 53,AVENUE DE L'AGORA,Boulazac Isle Manoire,24,1,5385,12112,118,589
CGR AGEN,PLACE DU PIN,Agen,47,10,130200,216354,1595,19203
CGR EPERON ANGOULEME,30 RUE SAINT-ROCH,Angoulême,16,1,13128,27171,172,1344
LE TURENNE,AVENUE  POINCARE,Argentat-sur-Dordogne,19,1,4779,8355,187,368
SAINT MICHEL,RUE ST MICHEL,Arudy,64,1,5411,8917,126,606
L'ATALANTE,3 QUAI AMIRAL SALA,Bayonne,64,3,71060,123648,400,4614
LE ZOETROPE,33 BIS COURS DE LA REPUBLIQUE,Blaye,33,2,24907,37624,408,2522
L AIGLON,RUE ANNE DE NEUBOURG,Cambo-les-Bains,64,1,6322,9381,110,560
RIO CINEMA,ALLEES MARINES,Capbreton,40,1,11770,18494,172,840
L'ODYSSEE,PLACE JOSE BES,Casteljaloux,47,1,6857,12840,185,648
LES 400 COUPS,4 RUE AIME RASSETEAU,Châtellerault,86,1,13803,23678,129,1215
SALLE FRANCOIS PIAT,1292 RUE DE SARRAN,Égletons,19,1,0,18,18,1
LE FAMILY,COURS DE LA REPUBLIQUE,Garlin,64,1,5369,9777,166,681
CINEMA DE GENCAY,PASSAGE DES 3 MARCHANDS,Gençay,86,1,12754,21718,104,1041
GERARD PHILIPE,PLACE DU MARCHE   LA HUME,Gujan-Mestras,33,1,11922,26089,182,780
LOU HAPCHOT,8 RUE LACHANAU,Hourtin,33,1,7621,11889,210,631
ETOILE,33 GRAND'RUE,Lencloître,86,1,5469,9527,289,590
ESPACE CULTUREL GEORGES BRASSENS,13 RUE DU 9 MARS 1962,Léognan,33,1,9088,15786,349,731
HORIZON GRANDS ECRANS,11 PLACE DENIS DUSSOUBS,Limoges,87,14,138870,213264,2252,18017
LE SILVERADO,LA CLE DES CHANTS,Marthon,16,1,2890,4840,150,307
LE MELIES,PLACE BUJAULT,Melle,79,2,15020,22385,434,911
MERIGNAC CINE,PLACE CHARLES DE GAULLE,Mérignac,33,4,107020,170988,1036,6920
FAMILY FUN PARK,49 ROUTE DE SEMUSSAC,Meschers-sur-Gironde,17,1,5444,8682,133,971
LE LIBERTY 1,RUE DE LA FRATERNITE,Monsempron-Libos,47,2,16872,27997,312,1671
LE PARADISIO,PLACE DE LA MAIRIE,Neuvic,19,1,3810,5856,144,306
LE MAJESTIC,PLACE ARISTIDE BRIAND,Neuville-de-Poitou,86,1,4667,9539,134,280
MEGA CGR,PLACE DE LA BRECHE,Niort,79,12,196815,313612,2021,23261
CINEMA LE FOYER,RUE DENFERT ROCHEREAU,Parthenay,79,2,19672,31308,356,1607
CINEMA LE MELIES,PLACE DU FOIRAIL,Pau,64,3,0,90616,500,3792
LE DIETRICH,BOULEVARD CHASSEIGNE,Poitiers,86,1,16509,28082,141,1554
CGR CASTILLE,24 PLACE DU MARECHAL LECLERC,Poitiers,86,5,53056,72929,719,7175
LE KERLOUET,PLACE DE LA REPUBLIQUE,La Roche-Posay,86,1,3633,5730,233,382
LIDO,65 FRONT DE MER,Royan,17,6,136321,217912,1076,9304
GALLIA,67 COURS NATIONAL,Saintes,17,2,21645,32975,520,1734
ATLANTIC CINE,ROUTE DE ROYAN,Saintes,17,8,144537,227564,1256,10718
REX,PLACE DE LA POSTE,Soorts-Hossegor,40,1,20465,30714,390,947
ATLANTIC,PLACE ROBERT LASSALLE,Soustons,40,1,12375,20201,206,1134
LA FABRIQUE,RUE AMIRAL COURBET,Saint-Astier,24,1,10995,18280,341,956
GRAND ECRAN,26 RUE ADRIEN PIQUET,Sainte-Eulalie,33,8,104296,182881,1301,11506
