tconst,ordering,nconst,category,job,characters
tt0035423,11,nm0003506,director,\N,
tt0039442,11,nm0349426,director,\N,
tt0040559,15,nm0744023,director,\N,
tt0041979,11,nm0292720,director,\N,
tt0042222,11,nm0631370,director,director,
tt0042238,11,nm0133153,director,\N,
tt0042241,11,nm0223622,director,\N,
tt0042316,14,nm0693398,director,\N,
tt0042340,11,nm0188669,director,\N,
tt0042346,11,nm0288408,director,\N,
tt0042354,11,nm0538938,director,director,
tt0042429,11,nm0065442,director,\N,
tt0042434,11,nm0310449,director,\N,
tt0042470,11,nm0667170,director,\N,
tt0042539,11,nm0587277,director,\N,
tt0042601,12,nm0800547,director,\N,
tt0042619,11,nm0000975,director,\N,
tt0042621,11,nm0138893,director,\N,
tt0042649,11,nm0499077,director,\N,
tt0042660,11,nm0445454,director,\N,
tt0042737,11,nm0001905,director,director,
tt0042781,11,nm0155469,director,\N,
tt0042803,11,nm0041642,director,\N,
tt0042842,11,nm0173728,director,\N,
tt0042851,12,nm0213136,director,\N,
tt0042909,11,nm0656496,director,\N,
tt0042923,11,nm0237836,director,\N,
tt0042988,11,nm0245213,director,\N,
tt0043011,12,nm0894509,director,\N,
tt0043018,11,nm0000320,director,\N,
tt0043066,11,nm0928644,director,\N,
tt0043086,11,nm0005898,director,\N,
tt0043115,11,nm0273477,director,\N,
tt0043251,11,nm0695937,director,\N,
tt0043255,11,nm0006943,director,\N,
tt0043261,11,nm0515491,director,\N,
tt0043262,11,nm0920074,director,\N,
tt0043264,11,nm0550777,director,\N,
tt0043265,11,nm0001379,director,\N,
tt0043266,11,nm0237836,director,\N,
tt0043274,14,nm0314671,director,\N,
tt0043274,15,nm0414144,director,\N,
tt0043274,16,nm0527217,director,\N,
tt0043276,11,nm0909825,director,\N,
tt0043278,11,nm0591486,director,\N,
tt0043287,11,nm0490444,director,\N,
tt0043288,11,nm0869664,director,\N,
tt0043291,11,nm0293707,director,\N,
tt0043299,11,nm0428195,director,\N,
tt0043303,11,nm0002193,director,director,
tt0043306,11,nm0004292,director,\N,
tt0043313,11,nm0654868,director,\N,
tt0043325,11,nm0208111,director,director,
tt0043327,11,nm0065139,director,director,
tt0043332,11,nm0899581,director,\N,
tt0043335,11,nm0751514,director,\N,
tt0043338,11,nm0000697,director,\N,
tt0043340,11,nm0521334,director,\N,
tt0043343,11,nm0202681,director,\N,
tt0043350,11,nm0076779,director,\N,
tt0043352,11,nm0066247,director,\N,
tt0043355,11,nm0479720,director,\N,
tt0043359,11,nm0744035,director,\N,
tt0043361,11,nm0733476,director,\N,
tt0043362,11,nm0002190,director,\N,
tt0043363,11,nm0091430,director,\N,
tt0043372,11,nm0767701,director,\N,
tt0043379,11,nm0909825,director,\N,
tt0043386,11,nm0065442,director,\N,
tt0043389,11,nm0627087,director,\N,
tt0043390,11,nm0307819,director,\N,
tt0043392,11,nm0145336,director,\N,
tt0043403,11,nm0623401,director,\N,
tt0043408,12,nm0091430,director,\N,
tt0043409,11,nm0869664,director,\N,
tt0043411,12,nm0294758,director,\N,
tt0043412,11,nm0314584,director,\N,
tt0043424,11,nm0235066,director,\N,
tt0043425,11,nm0006943,director,\N,
tt0043433,11,nm0295367,director,\N,
tt0043434,8,nm0287931,director,\N,
tt0043435,11,nm0663577,director,director,
tt0043436,11,nm0466113,director,director,
tt0043444,11,nm0217035,director,\N,
tt0043453,11,nm0217325,director,\N,
tt0043454,11,nm0500552,director,\N,
tt0043455,11,nm0454771,director,\N,
tt0043456,11,nm0936404,director,director,
tt0043458,11,nm0070670,director,\N,
tt0043459,11,nm0514822,director,\N,
tt0043460,11,nm0350987,director,\N,
tt0043461,11,nm0368871,director,\N,
tt0043465,11,nm0943758,director,director,
tt0043468,11,nm0055303,director,\N,
tt0043469,11,nm0909825,director,\N,
tt0043476,11,nm0191899,director,\N,
tt0043482,11,nm0580017,director,\N,
tt0043503,11,nm0934827,director,\N,
tt0043505,11,nm0313124,director,\N,
tt0043511,11,nm0744023,director,\N,
tt0043514,11,nm0746740,director,\N,
tt0043516,11,nm0075318,director,\N,
tt0043526,11,nm0591486,director,director,
tt0043531,11,nm0437356,director,\N,
tt0043532,12,nm0558127,director,\N,
tt0043537,11,nm0802862,director,\N,
tt0043539,6,nm0643443,director,\N,
tt0043540,11,nm0002087,director,\N,
tt0043542,11,nm0006943,director,\N,
tt0043544,11,nm0258015,director,\N,
tt0043545,11,nm0782947,director,\N,
tt0043547,11,nm0712947,director,\N,
tt0043553,11,nm0002031,director,\N,
tt0043554,11,nm0712639,director,\N,
tt0043557,11,nm0547446,director,\N,
tt0043560,11,nm0368871,director,\N,
tt0043562,11,nm0523893,director,\N,
tt0043565,11,nm0045800,director,\N,
tt0043567,11,nm0803549,director,\N,
tt0043574,11,nm0180191,director,\N,
tt0043577,11,nm0004454,director,\N,
tt0043580,11,nm0949031,director,\N,
tt0043587,11,nm0621540,director,\N,
tt0043590,11,nm0685265,director,\N,
tt0043592,11,nm0045800,director,\N,
tt0043595,11,nm0792605,director,\N,
tt0043599,11,nm0861703,director,\N,
tt0043600,11,nm0235066,director,\N,
tt0043606,11,nm0598102,director,\N,
tt0043606,12,nm0826642,director,\N,
tt0043614,11,nm0000041,director,\N,
tt0043618,11,nm0401680,director,director,
tt0043619,11,nm0526946,director,\N,
tt0043625,11,nm0077587,director,\N,
tt0043633,11,nm0001008,director,\N,
tt0043635,11,nm0105774,director,\N,
tt0043637,11,nm0099592,director,\N,
tt0043639,11,nm0000320,director,\N,
tt0043643,12,nm0268513,director,\N,
tt0043646,12,nm0145336,director,\N,
tt0043652,11,nm0560489,director,\N,
tt0043658,11,nm0002175,director,\N,
tt0043660,11,nm0936404,director,\N,
tt0043663,11,nm0330456,director,\N,
tt0043664,11,nm0733476,director,\N,
tt0043666,11,nm0782947,director,\N,
tt0043667,11,nm0454771,director,\N,
tt0043670,8,nm0149631,director,\N,
tt0043671,11,nm0521334,director,director,
tt0043677,11,nm0928108,director,\N,
tt0043679,11,nm0218119,director,\N,
tt0043682,11,nm0914972,director,\N,
tt0043686,11,nm0167496,director,\N,
tt0043687,11,nm0002031,director,\N,
tt0043695,11,nm0005738,director,\N,
tt0043699,11,nm0455839,director,\N,
tt0043701,11,nm0707264,director,\N,
tt0043709,11,nm0836328,director,\N,
tt0043719,11,nm0490950,director,\N,
tt0043722,11,nm0614634,director,\N,
tt0043727,11,nm0952761,director,\N,
tt0043728,11,nm0461348,director,\N,
tt0043733,11,nm0485647,director,\N,
tt0043736,11,nm0757940,director,\N,
tt0043743,11,nm0112218,director,\N,
tt0043747,11,nm0912766,director,\N,
tt0043751,11,nm0792605,director,\N,
tt0043752,11,nm0065259,director,\N,
tt0043752,12,nm0124236,director,\N,
tt0043759,11,nm0628149,director,director,
tt0043762,11,nm0124877,director,\N,
tt0043766,11,nm0521334,director,\N,
tt0043769,11,nm0099589,director,\N,
